danmaku_id,content,progress,ctime,user_hash
2082987886646701824,一天三更 勤,3.589,1775402706,feede386
2082988807036425216,再没防空你也不能横穿吧？,31.004,1775402815,bfdb5222
2082988910635490816,真.黑鹰坠落,27.111,1775402828,77888628
2082989065422466816,使命召唤新关卡,101.564,1775402846,68b5c9fe
2082989471372758784,D7深夜加更必有大事啊,7.346,1775402895,43ec6137
2082989481304859136,今天有点高产啊,14.705,1775402896,ceb0faed
2082989537617352448,搞半天还要自己拼,130.235,1775402902,92f9db2f
2082989544378787072,搞半天还要自己拼啊,123.39,1775402903,9b1b223d
2082989718341680640,葫芦娃救爷爷剧情，去救援的也需要被救援了,20.229,1775402924,43ec6137
2082989719817678336,搞半天还要自己拼,126.311,1775402924,9b6a95a3
2082989784670316800,机组成员怎么撤离的呢？机上装的救人的三角洲又是怎么撤离的呢？,60.165,1775402932,aaf4c563
2082990449383348480,没错你卡了,74.711,1775403011,1a1074ea
2082991106597651456,还有超级拼装吗,126.829,1775403089,aec16697
2082991563231532544,救人组肯定戴了记录仪，真救到不可能没有视频,116.288,1775403144,7d1a8450
2082993260691525376,好！！！,7.659,1775403346,ca7e29b2
2082993517617435904,这些飞机我熟，使命召唤,49.204,1775403377,52a6a1fe
2082993985668204288,人怎么能捅这么大篓子,24.949,1775403433,fe2f28c4
2082994189906032384,被击伤了，无法返航,72.852,1775403457,b680c620
2082994809094202368,以老美的造性如果救到了第一时间就会出视频证实,127.043,1775403531,331166fe
2082995235000196608,Man!!!,0.388,1775403582,6c276ee9
2082995602010509568,爷爷现在在哪？,7.632,1775403625,794a2156
2082996438539143936,伊斯法罕核电站也就离20公里不到,81.668,1775403725,42900cff
2082996451013245952,郎子这招围点打援太狠了哈哈哈哈,19.693,1775403727,43ec6137
2082996571750428160,《黑鹰一直在坠落》,23.98,1775403741,43ec6137
2082998286314438144,小鸟的航程只有420，这是单程飞行啊，美国人还想像上次那样在敌国机场给小飞机加油？,83.09,1775403945,377b45ad
2082998926692805632,伊朗故意不放出已经抓到飞行员，从而吸引美剧继续增兵营救，围点打援的效果,109.119,1775404022,1ca47bf2
2083000120643389952,小胖鸟——！,56.221,1775404164,e2a35d95
2083000608851673344,毕竟现在没派地面部队，为了脸面飞行员肯定要救，要是全面战争了你看救不救,97.341,1775404222,c99b77f9
2083000763445285120,就这样毫无阻挡？,83.194,1775404241,5bd04035
2083001267399406336,在拍了在拍了，马上制作成片，别急,118.42,1775404301,58d949aa
2083003178324509184,光速,15.299,1775404529,b328d726
2083003883169037824,拼好机,0.589,1775404613,2604501
2083006249527742720,很有道理,110.065,1775404895,6bf3b68e
2083007228612865792,卢本伟：真的假的兄弟？真的假的？,60.429,1775405011,4a5c71cb
2083007954672228864,前后搭进去5叫架飞机,94.453,1775405098,bb33973e
2083008670354211584,击落能坠在一起  不对吧,35.288,1775405183,cdcf2fae
2083009079835366400,伊朗找到也不会马上告诉美国，围点打援知道不？,117.891,1775405232,4cc06cc4
2083010543044310016,老美：围点打援？我自己爆破了,35.904,1775405406,5ee79789
2083010610865642496,搜打撤,42.137,1775405415,aa77250c
2083011144943290880,黑鹰又坠落了,29.453,1775405478,1c577636
2083012333684891136,可能是特种作战任务但是护航的f15被击落了,95.317,1775405620,c963108f
2083013262127327232,什么油？,96.815,1775405731,97eded44
2083013404289009664,没油了走不掉了？,82.95,1775405748,7e2f93c4
2083013763296571136,我也要拼吗？,124.131,1775405790,a8bce3d4
2083014770860370176,是击落迫降之后又炸毁的,62.046,1775405910,e26805a
2083015432704846336,没有救走，伊朗不会马上公布，要当作诱饵,117.261,1775405989,e26805a
2083015532479115520,踩点？,103.54,1775406001,204e9a04
2083015778885884416,炸军机可以扰乱敌人，是很正常的战略,89.539,1775406031,58e547ce
2083018331984068352,@转转,117.948,1775406335,93b35c22
2083021389254232064,1小时前康康,9.131,1775406699,a2aa7444
2083022556797642752,应该是迫降之后炸的,75.568,1775406839,d618442
2083025710653903872,6666,67.822,1775407215,196bc156
2083027091695920128,我觉得这是美军直升机迫降后无法再次起飞，然后美军统一炸毁，这样两方口径都对的上了,142.609,1775407379,aeff568e
2083027618055131136,没办法，必须要救，参考黑鹰坠落，真被俘虏就输麻了,13.759,1775407442,21cacab9
2083031258342190080,因为不救不行,97.521,1775407876,488f4490
2083033795762151936,蚌埠住了,103.001,1775408178,a6328d7d
2083041770467310592,空中炮艇,42.455,1775409129,a8db655
2083044757592648704,真就黑鹰坠落2.0  还是MAX PRO版,4.68,1775409485,b620822
2083052573484639232,man！,50.214,1775410417,deba99e3
2083054065449033216,man,56.331,1775410595,6d001ec7
2083082168627876096,这痕迹残骸面积太小，确实不像是击落坠毁,110.916,1775413945,4f1d6492
2083088950943397376,问题是两个救成七个了这咋整,109.148,1775414753,ba00ab5a
2083107974436076544,这作业我不会啊,134.138,1775417021,fe0e16b2
2083109709972007680,黑鹰不坠落 小鸟遭殃,57.586,1775417228,4d17d51d
2083110532995165696,爆炸威力挺大的 小鸟都碎了 认不出来了,54.525,1775417326,4d17d51d
2083113167613487872,这把是小鸟坠落,32.23,1775417640,4d17d51d
2083113217190326272,小鸟坠落,34.725,1775417646,4d17d51d
2083113643088324352,有飞机不坐 非要走回去,68.346,1775417697,4d17d51d
2083122811173879808,伊朗消息,14.353,1775418790,7638f4bc
2083163652454288384,保家卫国的英雄,71.688,1775423659,123ff507
2083216909586995712,自炸能这么碎？,75.61,1775430007,f3ef137e
