danmaku_id,content,progress,ctime,user_hash
1571549499556762368,不撕机膜人,42.579,1714434499,5dd69f57
1571549736090366720,帅,50.459,1714434527,bb63b035
1571551292000718080,(嫖到了),5.676,1714434713,8e4ce14
1571551705148034816,要溢出来了（doge）,170.533,1714434762,f7a94df5
1571552067812857344,从传统到返古,181.844,1714434805,f7a94df5
1571552661726474240,早上好,19.902,1714434876,c4dfd3dd
1571552894862457088,无光.jpg ROG：喵？,118.196,1714434904,66d8d95d
1571553017906792448,记得撕膜（doge）,41.703,1714434918,ca5c46a3
1571553333972492544,不是98？（bushi）,181.924,1714434956,8e4ce14
1571553405913111040,同意!!!,171.593,1714434965,63c204e7
1571553822105890048,早上好呀,15.619,1714435014,250877e8
1571555780854098432,自信点，用98（doge,183.31,1714435248,9d6ef664
1571556497677277952,koukou弯的,276.37,1714435333,d14da296
1571557246704597248,用了win11好几年了，挺好用的,171.094,1714435422,75120d5a
1571557814084813568,改时间咯，745了,25.331,1714435490,42b78b8
1571563811385971456,突然高产,9.115,1714436205,d75deba1
1571564625408091136,《背影》,278.127,1714436302,f9dec975
1571565166238288128,《记得撕膜》,213.863,1714436366,67ec7959
1571567119089330432,《记得撕膜》,41.811,1714436599,f0ab24b8
1571571124817871360,无光！,302.141,1714437077,2d7828c5
1571572402092155904,我去买点橘子,276.652,1714437229,3129c165
1571580009057998592,一烤鸡就“爆炸”（坤坤音）,152.551,1714438136,c4221848
1571581708330118400,下面有请弹幕win11用户大战win10用户（doge,167.076,1714438338,35841097
1571595739342056960,“记  得  撕  膜”,2.516,1714440011,eb204a37
1571598626860466944,其实忘了也正常，无需在意,214.389,1714440355,2000046d
1571599697229908480,五光！,296.317,1714440483,952f4d33
1571606335521807104,“感谢甲方环节”,56.793,1714441274,854cf41d
1571621929474248704,《記得撕膜》,1.062,1714443133,3fcd7818
1571627388822221056,Win10yyds!,176.607,1714443784,bd9ede2b
1571627733350430976,带屏幕的只有4代吧,206.727,1714443825,bd9ede2b
1571632076586134784,英特尔u不是频率高出问题，真没必要超，玩游戏早过剩了,333.462,1714444343,edcdf44f
1571633844795593728,是的，超频的尽头是默频和XMP,333.285,1714444554,fe1a7088
1571651204717935616,三个风扇1200大洋,210.039,1714446623,64f1d9
1571655900794733056,《其实忘了也正常》,215.446,1714447183,e088e45d
1571656964713339648,我想来你们这里实习哈哈哈,233.881,1714447310,6d10dae5
1571666488216332288,阿肯是保守派（doge）,179.529,1714448445,66673bc1
1571675348347977216,8000/2,349.291,1714449501,d1bb722e
1571677238200816640,win11还行啊 我挺喜欢,176.52,1714449726,c9788e1
1571678254489088768,这里时间,44.459,1714449848,dc33ce1b
1571691061619866368,吸尘器,26.237,1714451374,5b6215b3
1571701368710926592,传下去，阿肯的xp不一样,353.771,1714452603,855674ec
1571710680342702848,win98~~,184.842,1714453713,8ee34585
1571712753603810048,睡美人,279.165,1714453960,b475d754
1571713927673400832,我在家打游戏也是这样,224.263,1714454100,7f5486d2
1571717172495990528,我几乎不用win10，习惯了win11无论生产力还是游戏感觉都好用,176.859,1714454487,cd0c780a
1571721018069046272,中指推眼镜，好评,29.565,1714454945,be7e58c8
1571736049490003200,（但星际公民好像压力比绝地求生还高，虽然星际公民这个东西根本没做完,315.029,1714456737,5b6dd350
1571750527329397248,我也觉得11还行,174.933,1714458463,63612044
1571760628966771456,呃氦呢？,36.458,1714459667,a8eef379
1571763599465081856,突然好奇 全水冷如果丢到零下30度环境会怎么样,51.5,1714460022,b222514
1571765628912577536,win10好用,187.9,1714460263,5327b4b4
1571769423541354496,长期速使导致的,170.212,1714460716,b255e28f
1571770035331229696,Wondows95表示可以一战,190.269,1714460789,f0416bb7
1571775895637758720,讲道理，XP真的很好用，只是老了,188.99,1714461487,a01323e9
1571777133234423808,用95吧,182.324,1714461635,79083f34
1571781089419401216,蚌埠住了哈哈,157.36,1714462106,b14d4d35
1571785680991152896,可是139和149默频都不行哦，要加压才能跑默频,340.154,1714462654,c41d5d0
1571786471055384576,生意突然好了,23.131,1714462748,15efbed
1571791064523043328,我也想去上班打游戏……,250.539,1714463296,e309d131
1571796236519136000,Windows11用了这么久了哪有某些人说的那么多毛病,188.86,1714463912,b22d9c05
1571798398095588864,《有点忙》,256.899,1714464170,5169e4f9
1571809872277092864,终于更了,32.12,1714465538,1a6bfb83
1571812052475960320,还挺好用的,170.688,1714465798,145c9f12
1571818252118744064,风扇字幕有两点,3.192,1714466537,15360c38
1571820638208242944,放动态抽了,118.472,1714466821,15360c38
1571827174544044800,456,42.172,1714467600,47a3cd1d
1571849823148236800,记得撕膜［doge］,18.601,1714470300,6e69e13b
1571851704134482432,win98（保守派）,181.884,1714470524,6e69e13b
1571856918660932096,为什么语音不同步,355.112,1714471146,63268a57
1571866896239143680,哲伦TIME！,45.795,1714472335,c1152b34
1571867861323278848,是不是有跟线材没插到底？？高高低低的成何体统hh,187.834,1714472451,42085918
1571894646383458560,打apex吧,326.861,1714475644,65eb85fb
1571899237082484224,热知识，有防冻液,57.491,1714476191,4f957f9f
1571908757255191040,哈哈哈哈哈哈哈,171.251,1714477326,2211fd3e
1571909646774761472,哲伦老师太有梗了，建议单干,193.398,1714477432,4b15c5df
1571936035808831488,《记得撕膜》,50.615,1714480578,971d53f4
1571957129760427520,哲伦剪辑真的棒！,51.312,1714483092,1525aca7
1571963945093588480,满配,131.319,1714483905,269addd8
1571965640993377792,《压力强》,333.487,1714484107,269addd8
1571973369015254528,金士頓又不差,36.313,1714485028,884b5d27
1571985778492644864,超频的意义是用中低端的硬件来获取更高价位的性能，顶配拉满的意义只是跑分而已,344.612,1714486507,17a7237d
1571988327547363840,（睡美人）,270.242,1714486811,fffc0098
1571988772697176832,来试试塔科夫街区（X）,323.894,1714486864,fffc0098
1571993980336518144,哎,278.473,1714487485,88801671
1571994518297894656,赛博马里奥,50.867,1714487549,4fecc95b
1571996376559026432,出了几个月我就开始用了，最好还是重新完全安装一次，不要win10升级。,161.74,1714487771,365bab42
1571998956005790464,前段时间用着还行，这段时间又出现音频上的bug。,166.099,1714488078,85174c2
1572027576149639936,win10好用 WIN11吃内存笔记本快哭了,176.024,1714491490,efea374
1572038286195753216,zhelun时间！,54.081,1714492767,3fd3c14c
1572046940647345408,怎么个无线 我看还是有线的啊  还以为终于要普及无线组装 无线使用了,74.599,1714493798,529687c2
1572105171503345408,黑的好看,108.257,1714500740,bd3cdfd0
1572176357709014784,重点：koukou弯的（多重含义）,262.559,1714509226,e4511094
1572254122420708096,win11春春的勾史,169.442,1714518496,19b72934
1572264582721117696,前面的不是废话…阿肯意思是装分体水不会因为pcb不一样导致安装出现变化,134.782,1714519743,607400c2
1572320988375531776,终于填坑了啊啊啊 就是第一期视频我关注的你,8.662,1714526467,5599f867
1572339555091479040,S&B 主机,11.217,1714528681,27088558
1572419440836982784,10刚出的时候也都说7好用,177.077,1714538204,37970a6e
1572475738530180608,我菜刀呢！？,41.45,1714544915,ae350992
1572484545226644992,逃离塔科夫：？,312.556,1714545965,33ce053e
1572485637959854848,笑到了,218.139,1714546095,fde3e521
1572489295921756416,关键词 koukou弯的,272.717,1714546531,c76c1da1
1572560567707725824,《记得撕膜》,7.593,1714555028,ac6aa5f3
1572568329737032448,希区柯克,53.185,1714555953,5858d06c
1572775310351911680,还有永杰,330.859,1714580627,b56b3e95
1573117057409707520,那为什么不直接用ice的核心直触冷头,143.545,1714621366,9d33b005
1573118706677280256,rmtp烤个300%就够,327.585,1714621563,9d33b005
1573175056967118336,三弟马克,324.004,1714628280,ce58225e
1573367574245641216,电脑装在散热器上,51.042,1714651230,92d248e3
1573415519510537728,习惯的代价而已,180.607,1714656946,a0f8b70d
1573525946626249728,有同款售卖么,279.779,1714670110,f0ebc847
1573526662979810048,比永劫无间强 我吃鸡满开四小时没问题 永劫无间满开两小时必定出问题,324.819,1714670195,f0ebc847
1573573167560330240,我从DOS 3.0开始，win11是我唯一没第一时间更新的系统，我甚至尝了vista,179.196,1714675739,569c9855
1574078020128673792,绝地求生,305.486,1714735922,b03d3225
1574177839874686720,线是卷曲的，不是并排的，好难受啊，，，，，，,342.058,1714747821,907cd48a
1574207969497724416,居然会说闽南语,275.927,1714751413,7f53a868
1574725341585434112,幻兽帕鲁？,316.99,1714813089,e8e8ac69
1574726216777408768,AMD：问题不大，我的最佳频率才6000,353.377,1714813193,e8e8ac69
1574841201079687936,这不是地平线5吗,238.868,1714826900,b93f7b7f
1574924176652170240,喜欢用Win11,179.515,1714836792,92e8deb3
1574981711211808768,我现在的HK的冷头就是电虎那买的。用了好几年了。,139.63,1714843650,f189a4ed
1575553710485164544,我已近视频就看到喆伦在发力,20.151,1714911838,1eabcf27
1575554979832531456,同款主板,112.891,1714911989,3d0addc0
1575593431802421760,游戏机真的贵,356.425,1714916573,973886c7
1575615947203761152,三年多了,166.111,1714919257,b32a77ed
1575675886122980096,要不你用dos,193.487,1714926402,4bcaab89
1575993489215542528,右边的板子上是气泡吗,60.333,1714964264,64f2aa6f
1576134935826354432,吸尘器,3.29,1714981125,2ae7cd00
1576209617221090304,《感谢甲方》,61.048,1714990028,1c66188
1576211432675056128,《忙》《商单有点多》,256.726,1714990245,1c66188
1577390549911161344,3D打印个壳子把线材盖住可以,195.325,1715130806,d8c440ac
1577653931314962432,撕膜撕膜,36.965,1715162204,d9634366
1578927555002546688,DOS乌龟画图  哈哈哈,195.105,1715314032,eec9adc9
1579644064264111872,闽南话啦，肯是在厦门，koukou是台湾的吧,283.485,1715399446,819b0bb1
1579992192704030464,win10刚出的时候也是win7好用,178.508,1715440946,394dc56c
1581188678636767744,浓浓的二佰伍气息扑面而来,51.435,1715583579,1535c71
1581847668286746112,水道板才是本体,10.231,1715662136,b0e8d1f1
1582375973364601088,koukou弯的,284.158,1715725115,7b1c8453
1583262906383282432,背插只是看不到又不是没有线,84.611,1715830846,8cbb9c54
1584236551125164800,这个水冷好14900kf可以用久一些 才会缩刚,117.123,1715946913,31a617e
1588615682080591616,液金啊,154.531,1716468946,ea058773
1589217692823511040,"优雅的镜面,倒映着你精致的容颜~嘶哈",125.577,1716540712,88869b8d
1591273321222388992,win11对全局HDR支持还是比win10好，作为LG电视用户还是只能用WIN11,196.3,1716785762,8bde7d78
1591284636724530176,塔可夫：说笑呢？,312.346,1716787111,9a5e3294
1720209897398425344,XMP就完事了,333.992,1732156199,2bc5e5d
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1571554279561584384,要看要看,597.054,1714435069,5dd69f57
1571556436381622272,懂了，阿肯在家只有6平方的地位,613.786,1714435326,e53ec1f5
1571557541421284608,不怀疑自己没撕膜吗（doge）,520.014,1714435457,8e4ce14
1571566395320398592,老猪的作品很合我品味,418.09,1714436513,f9dec975
1571574891780940288,宇光：润喽,543.792,1714437526,850b6bfa
1571585983106158336,大雷核心,542.684,1714438848,35841097
1571586713770263040,液金这样竖着放效果没问题吗,577.392,1714438935,35841097
1571593611781572352,《测试》,365.734,1714439757,320e45d8
1571604689919699456,1999,471.349,1714441078,e6eca802
1571604737382533376,开盖液金，开放式平台，分体水，95度，真高端啊这U,570.932,1714441084,9d464338
1571613516061055488,管道有白色吗,407.041,1714442130,45a050b6
1571629163155112960,意义明确：准点下班,542.838,1714443995,83441d94
1571638168225092608,搬家區up,607.9,1714445069,90fcbd38
1571638658833172480,佛拉米（doge,386.671,1714445127,9951da00
1571646838489038080,auto！,596.939,1714446103,cc5a76cc
1571667386023625728,液金应该在盖里，从里面漏出来可能性不大吧？,578.853,1714448552,92998146
1571670357092602880,哈哈哈哈哈哈哈哈哈,556.185,1714448906,63c6c9a3
1571698582116119296,看,604.67,1714452271,a940b2a6
1571698694162803200,6年老玩家,618.099,1714452284,a940b2a6
1571704668319411712,懂了，阿肯住厕所,615.256,1714452996,855674ec
1571708763436619264,我下班了肯老板（章鱼哥音）,544.299,1714453485,5bdb09b
1571709369220160256,主机歪掉了真的没有问题嘛【doge】,423.421,1714453557,11fe0158
1571721091167527936,6平？电竞洞穴是吧,615.034,1714454954,762c102f
1571747701132090880,不建议这样分水，水流导向会导致大部分水进CPU，但GPU才是热量大头,440.186,1714458126,79570214
1571758577885344512,可以用透明的管（）,413.273,1714459423,9c28d475
1571790230267162368,仓库钥匙叫出来,395.585,1714463196,c00262eb
1571799413645388800,有没有一种可能，液金竖放cpu上部分散热不到,547.556,1714464291,1795706a
1571814615581875456,Intel出厂灰烬,575.288,1714466103,f33462ef
1571827241183485440,老朱这个表情包刚好和阿肯叠上了，坤坤不保,416.78,1714467608,63f2b0bc
1571830263280218112,《公务员》,552.504,1714467968,cd985858
1571852252782930688,搬家区up主,607.96,1714470590,21620a6d
1571857399873326592,doge,587.276,1714471203,367bf56a
1571867845368077824,《强迫症患者：为什么是黑管？》,408.394,1714472449,932a7f17
1571891130600078592,六平米呀，地位很高了，在我这边30多万了,615.427,1714475224,77b8f44f
1571922375313066240,联力这个白色风扇真好看啊,505.445,1714478949,f90e064d
1571929468871107840,有白色管子,423.933,1714479795,523964f8
1571933467401444096,降压吧,569.528,1714480271,a802db71
1571940608816279040,480再上3个猫扇呢,582.472,1714481123,971d53f4
1571960773646104832,打完游戏就下班回家了，真好,567.404,1714483527,4ccd7e8f
1571969888606632448,哈哈哈哈,559.09,1714484613,ae841012
1571977733062515456,噪音控制如何,373.233,1714485548,8d23cdbf
1571982791317728256,好看,406.16,1714486151,910783fb
1572007038790423296,5w收,480.369,1714489042,4760e7a4
1572213020061378048,6平方   牛逼,621.118,1714513597,3d20a756
1572287349327607808,努力跳伞，三分钟一把压榨极限性能,372.859,1714522457,8d49cb17
1572495829825385728,很难不上四位数,468.286,1714547310,7c5f1172
1573419702330632960,竖着液金没问题吗？,576.252,1714657444,a0f8b70d
1574727112235945728,第二张和第四张还行啊,401.064,1714813300,e8e8ac69
1574782977345646592,不考虑撕膜因为是koukou装的,525.014,1714819959,405f6eb7
1575625482249368320,冷知识:直角弯头会让水流量损耗，越多损耗越多。,488.519,1714920394,631efb61
1576088166837019648,小朋友们 6平很大了,618.605,1714975550,bad32d56
1576262544791004672,把汽车的散热冷排装上去试试,567.864,1714996338,15c92397
1576358875379041280,.,428.237,1715007821,d99654e8
1577886028050942208,天际线2比烤机还能烤鸡机,538.603,1715189872,271fbaf2
1578841772493220608,哈哈哈更新bios啊,591.622,1715303806,f9e4c139
1579345556579746048,ken，我外星人笔记本壳都不烫为什么cpu还是撞墙呢？很郁闷,613.78,1715363861,3c2b9c23
1579645538285055744,双480冷排+压缩机就是13代和14的版本答案,580.432,1715399622,fd05a34c
1579899751686914304,看！,617.166,1715429926,c6b4ea77
1579932233492802304,水冷  BRO水冷不是也很牛吗？,417.349,1715433799,5b7ad4b2
1580574929982946560,吕布骑狗,372.623,1715510414,83a45e8e
1708061786513337344,冷知识：正常来说，那个叫流速,499.267,1730708032,ecfd3c0e
1717451992160352256,体循环与肺循环（,442.268,1731827431,7da21b7d
1968815173645321728,暂停截表情,554.238,1761792258,f071b61b
,,0.0,1775655591.4716349,
lb.c,,0.0,1775655591.4716349,
,,0.0,1775655591.4716349,
1571549499556762368,不撕机膜人,42.579,1714434499,5dd69f57
1571549736090366720,帅,50.459,1714434527,bb63b035
