danmaku_id,content,progress,ctime,user_hash
1797980674037414400,我去等一等,70.942,1741427198,f377b609
1797981223633759488,哈哈哈哈,94.51,1741427264,2941d53b
1797981580770210048,哈哈,167.655,1741427306,97e6f520
1797981590257796608,尬死我了,133.33,1741427307,2941d53b
1797981810567987456,抽象,28.879,1741427334,924f689
1797983407490959872,豆沙辣，一个埋南极一个埋北极,26.87,1741427524,8115f951
1797983740300574464,是不是真的,28.326,1741427564,195521c
1797984683280636928,优雅,343.811,1741427676,4986a575
1797986621023966208,有呢还是没有呢？,180.274,1741427907,e9f56aec
1797986870928945920,哈哈哈,240.56,1741427937,8ff7ae4d
1797987712431759872,哈哈哈哈哈,236.219,1741428037,c87cce98
1797987992276251392,啊哈哈哈哈,237.66,1741428071,e60799a0
1797988216126141952,喜剧的内核是悲剧,257.76,1741428097,e60799a0
1797989539873082368,Alpaca:我不配拥有姓名？,7.867,1741428255,65d77410
1797991739374746624,666,59.367,1741428517,e316be62
1797993597761799680,你们拍的小尬剧都没这个尬,145.705,1741428739,5e500478
1797994286273821696,熊貓餐嗎？吃得很素，少了竹子、竹筍和窩窩頭,189.621,1741428821,d899ab3a
1797996522718408704,现搜现问啊,71.488,1741429088,11533d6c
1797997492298812160,114514分（乐）,117.434,1741429203,1b28f8ad
1798000113990977024,服务器繁忙,48.952,1741429516,aed70863
1798000208085678592,服务器繁忙doge,41.462,1741429527,76bb3d49
1798001968485688576,转人工,83.373,1741429737,5afb5ab1
1798003225493327104,油油，学不得,57.711,1741429887,6540ec0b
1798003613558257664,然后隔壁桌上来俩七分熟牛排,187.333,1741429933,b84ad5cc
1798004541925985024,现场问是吧,66.288,1741430044,a37defa2
1798005142676261376,666,141.974,1741430115,a37defa2
1798005262909974016,人机,154.792,1741430129,a37defa2
1798009249285619200,平身,14.306,1741430605,5955d1e5
1798010214042732544,这个可以有Doge,188.011,1741430720,1a45ae47
1798010422969374208,这个可以有 这个真没有,175.739,1741430745,87c5a1f2
1798010631778123776,哈哈，人机,209.499,1741430770,8b9b1bc2
1798010709197127424,在这等着呢,296.494,1741430779,370977ec
1798010915388552704,每一点,357.391,1741430803,c62b5bc0
1798011577837366016,人机哈哈哈哈哈哈哈哈哈哈,162.988,1741430882,18904e5e
1798012831624012288,哈哈哈哈哈哈哈哈哈哈哈,209.917,1741431032,18904e5e
1798012990923483392,笑成大芬了密码的,158.481,1741431051,92ec6ad
1798013454083920128,人机,133.556,1741431106,23c41c81
1798013965554149120,人机,205.405,1741431167,23c41c81
1798015286952269056,评分系统只会把他人的努力异化掉，我的评价是MVP,113.755,1741431324,80976280
1798015966966473728,有，还是，没有啊？,173.08,1741431406,33b146e9
1798016719617383424,回家看孩子,351.373,1741431495,a2b0fcf0
1798019275416702976,我有急事，要给孩子喂奶了,348.62,1741431800,6092d4a0
1798019949860820224,赞美欧姆尼赛亚,13.037,1741431880,1412bb50
1798020284163432448,转人工,138.471,1741431920,2eb8ad90
1798021471881289216,看看这就是人工，比ai强多了,244.511,1741432062,2eb8ad90
1798021804892716544,这个可以有,170.175,1741432101,23613503
1798022232166584832,服务器繁忙,73.711,1741432152,3d9626b
1798022452870403072,好好好，在这等着呢,295.1,1741432179,1ac1760e
1798025580999416320,哈哈哈啊哈哈哈哈,249.98,1741432552,95e754fb
1798026369788129280,四斤的龙虾一只,182.06,1741432646,d917a239
1798027425452626688,666奶粉钱,297.48,1741432771,d917a239
1798028318671380736,开始进入主题,296.274,1741432878,1040bbd3
1798028565162309632,没绷住,238.971,1741432907,8d402ce6
1798028567813724928,人机，哈哈哈哈哈哈,78.571,1741432908,79236ee2
1798029067094755584,DeepSeek表示反对,30.58,1741432967,53b9ddd4
1798030501353929472,这么抽象,23.024,1741433138,b2862f5f
1798031056318992640,人机,89.169,1741433204,b2862f5f
1798031061209953536,你也觉得我吃得多？,203.62,1741433205,d67c04e9
1798031148115710464,服务器繁忙,45.76,1741433215,1a332747
1798031629839733760,以后人机最难的是要怎么训练人,157.552,1741433273,b2862f5f
1798031724857280512,雅诗兰黛打钱,288.864,1741433284,3d588812
1798032431438480128,哈哈哈哈哈,253.112,1741433368,b2862f5f
1798032720350321920,？,287.552,1741433403,b2862f5f
1798033373126797312,怎么还是手动口令的,205.57,1741433480,be668f59
1798034549008127744,服务器繁忙，请稍后再试,71.579,1741433621,db3fe8ca
1798038888569419008,突然感觉有点像杨迪诶,132.4,1741434138,423533f
1798053897072311040,此事在《不差钱》中已有记载,172.926,1741435927,c8233a07
1798054947451871744,进步了，终于不当面问了,284.452,1741436052,c8233a07
1798055033057861120,闷闷太好哄了,122.875,1741436063,f601b2ae
1798055696672710144,哈哈,177.835,1741436142,3323d5
1798055712954430976,娱乐圈：现在台词数12345就好，后期再配音,165.195,1741436144,f601b2ae
1798055830772954880,吼吼,4.114,1741436158,9a1cd726
1798056855113705728,闷闷素颜也很能打,320.582,1741436280,f601b2ae
1798057869053664000,哈哈哈这大姨一看就是好人但是帮完忙会跟同事讲八卦那种,169.488,1741436401,dc0fce54
1798058151959198464,我嘞个AI恋爱啊,67.82,1741436434,5af53a39
1798059131128073728,真是读的，拆雷,283.228,1741436551,dc0fce54
1798060319542184704,搁这呢,308.86,1741436693,a2c63654
1798068872348856320,你等一下 我问deepseek,65.24,1741437712,bb12e01e
1798071682348003328,3.0 town in go,99.121,1741438047,704c95f
1798072200621250048,二周目,208.426,1741438109,bb12e01e
1798072452186792960,珊珊奥莱,45.324,1741438139,12d3c1
1798088180667995648,我以为是AI的广,308.291,1741440014,93a592ea
1798094838404123648,没有深度思考啊,45.153,1741440808,77671e22
1798095465930685952,尬死了,233.001,1741440883,425bb47a
1798097471906659072,小沈阳：这活我熟，不差钱,171.164,1741441122,914bd8a2
1798098559976431104,人机,157.12,1741441251,e9088ff0
1798105398528533760,应该像柯南一样躲一边去问,67.329,1741442067,b4896b9e
1798114099109422592,告辞,298.304,1741443104,6193544
1798117278878159872,《带孩子》,343.978,1741443483,2c944dad
1798119323240415232,要素察觉,295.427,1741443727,86fbd3e6
1798126729836597760,用手机看,249.87,1741444609,19157723
1798130086856850944,绝杀哈哈哈哈哈哈,241.296,1741445010,48cf8bf
1798149853059171328,我的deepseek明明跟我说美妆护肤类要谨慎选择送女生呀,304.287,1741447366,94b3ea38
1798156861020151552,自罚三杯？你这是渴了吧？,271.958,1741448201,c44ebe34
1798160740474667008,纳米AI.我在哪？我不配了？,10.514,1741448664,f4a08e01
1798164061012844800,应该让它写个第一次约会的剧本 你俩再现这个剧本,152.811,1741449060,3a67812d
1798164144437436416,一如既往地尬,138.765,1741449070,35ef6445
1798164525590682880,《不差钱》,192.931,1741449115,3a67812d
1798169570239346432,deepseek都能自己接推广了？,320.111,1741449716,6f92276d
1798170974760741632,这家餐厅我去过！,188.693,1741449884,a5008e6b
1798171797330932224,张伟相亲既视感（doge,153.763,1741449982,e16f67e1
1798174445463648000,你这deepseek还微调过？哈哈哈哈,309.891,1741450298,1b869042
1798181438189835776,转人工,70.472,1741451131,50ad3aad
1798200426575961856,《平身吧》,5.294,1741453395,7126cf2f
1798230750714542848,还得你是会整活儿。,13.3,1741457010,dadcd691
1798259982446523648,感谢甲方催更,312.355,1741460494,593f65cb
1798285169057346304,这deepseek晓明哥附体了,56.025,1741463497,ee5a7f4d
1798308588860045824,ai：带不动,84.551,1741466289,c144cd20
1798410552658226176,哈哈哈哈哈哈,235.697,1741478444,7dd2de
1798435068860067072,这就是人机,75.34,1741481366,d9f528a9
1798445208775116544,申请转人工,84.071,1741482575,1698cc24
1798457355278027008,不对。应该有思考过程,62.235,1741484023,22e891bc
1798465339663729152,你等一下我服务器繁忙,76.702,1741484975,245007b5
1798468573371673856,太尬了,213.121,1741485360,f2221b4a
1798471189560652800,屏幕前的你在笑什么,98.491,1741485672,f14b43fa
1798475676593162752,有点像互动游戏,147.75,1741486207,f1349f41
1798486972315693312,哈哈哈哈哈哈哈哈哈哈哈,236.106,1741487554,575600d7
1798487662345763328,不说话的时候还是挺帅的,224.9,1741487636,60ff9e1c
1798511445056033536,但是这是真漂亮啊,97.842,1741490471,ccedebd9
1798511604364137216,看来平时夸少了,97.853,1741490490,40ba28d0
1798518330869544960,能不能背一背台词再来啊喂,131.68,1741491292,9a53d87c
1798519151234012416,图灵测试,82.411,1741491390,caa8dd4e
1798522043122630144,焖焖酱太好哄了,113.243,1741491734,a27447c5
1798522677678843392,省钱小妙招,188.946,1741491810,a27447c5
1798525735762401536,这是主要整蛊自己都视频吧，笑死,186.231,1741492175,89e24e4
1798529320549881856,布豪！,235.349,1741492602,e1c4a78b
1798531285674285824,服务器繁忙，请稍后再试,85.787,1741492836,7bb0de82
1798538603450765824,孩子都有了，还来逗网友,30.521,1741493709,b7b8e050
1798540288756142336,不对啊，这样没意思，应该让芷妍来,118.74,1741493910,addd1f26
1798541708083442944,这个可以有,178.647,1741494079,7ae921e7
1798543135799448576,能不能看着她说,96.01,1741494249,df3043d4
1798552964160912896,带孩子哈哈哈,234.223,1741495421,ca7c36e8
1798554921885838080,赖神！,7.96,1741495654,a2b41c60
1798556188213492736,燕子！！！,353.521,1741495805,cf72c5aa
1798558145845591552,去（某个地方）了,123.606,1741496038,dab26a9e
1798559155750665728,你们好像还不熟的样子,230.399,1741496159,1e87d66
1798561119699224064,回家带孩子了,355.555,1741496393,d1f4aa7a
1798561502379779584,素颜也好美哦,320.361,1741496438,c83119f2
1798566533379841024,服务器繁忙，请稍后再试,70.566,1741497038,5f6d9cdc
1798568167757461504,这就？？,60.059,1741497233,308a8045
