danmaku_id,content,progress,ctime,user_hash
1744897515511647744,我四级,1.268,1735099193,d690e94a
1744918231464324864,0.3纳米？,88.213,1735101662,54ddf3d
1744930323467054080,那以前没有高精设备的时候，还不是靠钳工搓出来的,64.696,1735103104,a9748bcb
1744960541891980800,我爸下岗前是四级，现在也是还有8年退休的人了,29.282,1735106706,7c9725e0
1744961605625778176,钱工,68.521,1735106833,a6c194da
1744973192349054720,纳米太夸张了，应该是微米,107.791,1735108214,e415186f
1744975060584319488,正负0.02我还不如上CNC,8.811,1735108437,f0d9a851
1744977738260851200,我外公八级钳工养七个女儿,25.051,1735108756,74f77f84
1744999424340226304,三四层楼那么高,0.211,1735111341,9d23fd5d
1745011221666670336,我外公70年代开大货车的，我外婆种地，一个人养5个儿女，而且还经常吃肉。,31.04,1735112747,ca0411f3
1745017683294475008,这么说吧，高级钳工可以让两块金属产生范德华力，但是这是机器做不了的。航天器对接就是靠这些师傅手搓的,97.971,1735113518,e56b606f
1745030846278760448,发疯,74.739,1735115087,e8328187
1745032792175575808,真的假的？手搓两个丝公差？我用钨钢刀洗出两丝公差，都怪麻烦的,8.319,1735115319,47a9b73b
1745035235710442240,0.3纳米，厉害,85.304,1735115610,3095cfd
1745036721022562816,嗯，机器是无法生产出比它更精密的机器的,74.082,1735115787,e2c067ed
1745041129008773376,以前精度不高啊，现在不行了,71.946,1735116313,c745cfce
1745043385762501632,因为高精度设备太贵了,83.382,1735116582,2a71cdb9
1745052546122385920,当时我国第一批歼5歼6就是钳工手搓的,65.171,1735117674,eae5a5ed
1745059619354995200,你等等，确定不是微米吗？,86.495,1735118517,1fd27ca2
1745064221495903232,八级和工程师一个待遇了,50.435,1735119066,989de31b
1745068262707813632,我外公是测绘所的绘图师和设计师，所以我有个躺平的老妈(233),29.506,1735119547,fca969d3
1745069694845444864,八级就是首席技师了吧,60.989,1735119718,4bf49e8b
1745074401038206720,我学这个的,7.126,1735120279,9e2764db
1745079849523411200,没有高级手艺，机床怎么攒出来的,21.36,1735120929,b6e7d202
1745092334540022272,0.3纳米可是比原子级还小了,93.576,1735122417,950792a7
1745125492920947456,你猜机器的精度哪来的,73.542,1735126370,c91b546
1745129277005237504,0.3原子核,96.291,1735126821,bb4e6ff3
1745135270279471616,能的，就是激光切割，有的件精度要求巨高，机器故障率比人高很多，人手很稳的就是精力太大了，一天可能就一个件，光刻机就是无数次的调试让他接近人做的标准件,85.652,1735127535,f5dc8fe
1745136255898840320,如果说机器超越人类也只能是未来了，现在机器比人快的就只有效率,95.109,1735127653,f5dc8fe
1745141812202489856,锉削錾,119.36,1735128315,d2036c21
1745142342035204608,方文墨先生就是钳工大国工匠，自己也曾有幸听过他的讲座，看到他五年前做的零件，真可谓严丝合缝，连空气都不透,109.211,1735128378,998b0cae
1745152301771755520,有手搓航母的视频？,4.22,1735129566,63ecce15
1745154646739743488,孩子们不懂这个级别的含金量,57.737,1735129845,bb50cd85
1745161019364176640,有些工艺是设备代替不了的,30.195,1735130605,6bfa8505
1745201285403216384,难绷,88.807,1735135405,d345a6b6
1745201397189766400,难绷,92.848,1735135418,d345a6b6
1745231619691744512,现在人工精度拍马也追不上了,83.379,1735139021,df3f4434
1745239647455990528,手搓机械表,57.067,1735139978,3f6765a9
1745241407360635904,现在还有个锤子的8级工，就分一二三级，再上去就是技师了,56.884,1735140188,7b595b20
1745251534784067840,八级是首席技师了,13.429,1735141395,d297c372
1745253071996377856,纳米太离谱了,95.859,1735141578,43302395
1745256041513957888,就是公差再大，只要产量够高，早晚都能造出来,75.051,1735141932,e9b373c8
1745652114362756096,本来就是啊母机定律，一个机床用有不可能加工出比自己还精密的零件,81.34,1735189148,4bb84cdb
