danmaku_id,content,progress,ctime,user_hash
1770266794570551040,德国将领曾说这样的巨炮的经费可以造几十辆飞机坦克，非常地浪费资源,213.124,1738123446,61845711
1770267253678531840,哪疼了？都成灰了哪来的痛觉,197.786,1738123501,8ba8449
1770267488769766656,有幸（悲）,192.749,1738123529,2f639bae
1770267826637011712,臼炮就是,117.228,1738123569,4d86785
1770269543064195072,新年快乐,5.101,1738123774,181ab163
1770274440040184576,《有幸》,195.601,1738124358,f7096438
1770277626335385088,来了来了,4.98,1738124738,152ad02a
1770279176625477888,单看炮弹你们大概就能看出古斯塔夫炮管多大了,191.132,1738124922,77f30faf
1770286745733827328,参与了塞瓦斯托波尔的战斗,105.162,1738125825,d7532c6c
1770290956840125952,猜对了（,311.755,1738126327,a8377289
1770346286110093056,重点是古斯塔夫巨炮是被成功研制出来并投入制造的大型火炮,96.677,1738132923,1a95ac9e
1770350265984849152,当时世界上第一款碳基制导导弹,309.539,1738133397,e4c50c1a
1770468774484043008,我先来，V2导弹,40.765,1738147524,e6807908
1770511107225266944,无处不在的kards玩家,349.25,1738152571,844bf625
1770516452379117568,陆军特殊工程：超重型列车炮,86.265,1738153208,7385e872
1770517609671320832,一发炸弹从烟囱掉进去爆了整个轮机组，一发核心直接抬走了,269.252,1738153346,7385e872
1770532444312246272,666,162.318,1738155114,a59d8042
1770533048770295808,当时德国的科技是全球第一,229.179,1738155186,a59d8042
1770540033276376576,听说古斯塔夫巨炮和卡尔臼炮的命中率也相当感人，当时的预定的轰炸目标很多都没中，命中弹药库纯运气,191.208,1738156019,d5a1e8c8
1770551449920229376,嗡嗡炸弹,349.898,1738157380,4a08511
1770554806604309504,但是它帅啊,204.945,1738157780,5986d805
1770555325339546368,（两辆》指694,210.953,1738157842,b148b0c8
1770617289394518272,利奥波德？,202.13,1738165229,58a8f462
1770875831024630784,v1？,307.75,1738196049,bb57aeaf
1770875911488162304,v1？,307.75,1738196059,bb57aeaf
1770894355545068544,Me262,44.327,1738198257,f76a7055
1770934798576171264,钢铁雄心好评,205.602,1738203079,b0c3045a
1770951514128084480,嗡嗡炸弹,347.75,1738205071,e3053a78
1770952328695492352,对1个敌方目标造成1点伤害。若是总部，抽一张牌。,347.75,1738205168,e3053a78
1770962854150145792,冷知识火车在我国清朝时期的时候，英国就已经通车了,133.585,1738206423,df8415b8
1770991224741409536,钢铁巨兽,123.448,1738209805,297fd9ee
1770995667414869248,"嗡嗡炸弹 对一个敌方目标造成一点伤害,如果是总部,抽一张牌",347.297,1738210335,b6a6a93a
1771018124356004352,至少在当时的德国百姓眼中是这样的,20.84,1738213012,16b777f1
1771036274250583808,西海/,2.215,1738215176,b90161b9
1771164985654145024,其实也没多大（曼施坦因亲自评价过“性价比极低”）,186.94,1738230519,b07bcd09
