danmaku_id,content,progress,ctime,user_hash
1092767073077209344,全球最高市值小lin奶茶店,11.305,1657359186,8828497e
1092767319945532928,小lin奶茶,77.717,1657359215,4376f009
1092769065136800000,开屏HI,9.913,1657359423,1e6fa1f7
1092770527606552064,真 自带音效（可爱）,64.691,1657359598,8be8f18e
1092770565883794944,预测一波：小lin 真会去开奶茶店！,39.41,1657359602,4714c04
1092772231206993408,然后不会是eni亚克吧,197.65,1657359801,50be03a3
1092772273217222400,我选e：小lin奶茶店,58.752,1657359806,346f770f
1092772645478539264,这也是被拆分的一个原因,258.574,1657359850,dd32cc10
1092773285906836736,小LIN奶茶店雄霸数百年!,18.6,1657359927,e3e43194
1092773391963949312,盲猜石油,56.878,1657359939,f847b12c
1092774028206308864,小Lin奶茶店hhh,11.939,1657360015,f84759ed
1092774541203341824,封面太逗了 哈哈哈,0.638,1657360076,71f6914f
1092774802441215232,就跟诺基亚一样咯,265.94,1657360107,68d586c1
1092776571858829568,伯克希尔,290.091,1657360318,4db92765
1092777937154996736,暂停术,257.793,1657360481,c9cd7499
1092779876517332480,我靠，英特奶肾喽~,107.7,1657360712,d6ab97
1092783663327930880,竞争很激烈,283.031,1657361164,a5ed4a1c
1092784848747249152,小lin奶茶店~,10.708,1657361305,baf8e094
1092786930002912256,战术破音,88.873,1657361553,84ae9fc8
1092787109208646144,无效消音（doge,301.566,1657361574,7fc573e1
1092788712364039424,通辽进行曲,100.931,1657361766,a039422
1092789923074865408,总会>破音,44.419,1657361910,940c62ae
1092792165634954240,中石油是吧，沙特阿美是吧,331.205,1657362177,2b40c544
1092792224011478528,释放了大量就业,182.023,1657362184,ffc18d87
1092793112910324480,诺兰正在拍的电影说的就这他吧,147.994,1657362290,cb4fbf6f
1092796396228335616,贝尔实验室,89.875,1657362682,bd839237
1092796707839786240,可以转吧papi酱最近的友情提示视频说明一下。,296.588,1657362719,f0f91bf4
1092796741813655808,当然是小lin奶茶店了,329.82,1657362723,6600002c
1092797733850376960,可汗驾到,99.219,1657362841,c8b336fa
1092798393580889344,比尔盖茨：我妈是卧底,287.48,1657362920,5581f6cd
1092805706182079232,通辽BGM起,99.993,1657363791,4afc0dd4
1092807356238018560,承包空屏,127.259,1657363988,f8bdf342
1092811372368117248,三短一长选最长,356.01,1657364467,b570acae
1092813538726008320,只认识NTT,353.236,1657364725,4c96c4be
1092819201976110848,人月神话,231.337,1657365400,5e373ea4
1092824250450084096,浪潮之巅,232.46,1657366002,360397d7
1092824909417171712,命运石之门,157.929,1657366081,31468f5d
1092830377447413504,嗨 格格巫,1.32,1657366732,f7ac2a47
1092835312918599424,中石油：大家都让让,15.079,1657367321,c06ab818
1092841128530588416,混进了一个奇怪的东西,17.16,1657368014,536e2a44
1092843448651764736,小lin奶茶！！！,29.862,1657368291,40eab25e
1092846627028471296,蓝色巨人,99.903,1657368669,fed7d6cf
1092860235187536640,三连众筹集资奶茶店,55.138,1657370292,cfec9658
1092862264517797376,奶茶店入榜,28.478,1657370534,c9efbb99
1092863473307723008,NTT不是快速数论变换嘛,354.128,1657370678,672daff3
1092865057412550144,我也是来看小林的,344.894,1657370867,c9efbb99
1092874806132729344,小Lin奶茶,12.819,1657372029,e2583c71
1092876005904786688,烟草：基操勿6,328.458,1657372172,43d7f603
1092876465231627776,专用计算机,184.712,1657372226,88961537
1092887317070228992,盲猜微软,12.0,1657373520,ab123ada
1092887731903953664,盲猜下一个是微软,179.775,1657373570,c3528b92
1092889009774148864,小lin奶茶店瞩目,12.159,1657373722,1be90227
1092890197995169280,中国烟草：我不说话,355.38,1657373864,63261f7c
1092896793437507584,单口相声小林。,25.202,1657374650,f411c44f
1092901561354676480,冷知识：AT&T的前身是由发明电话的贝尔建立的,72.681,1657375218,81518bae
1092901596477758976,苹果肯定是最后一个,192.5,1657375222,426ef8d6
1092903548556981760,图灵是提出构想或者说指定了规则，诺依曼是在规则内实现了。,138.474,1657375455,fda45d68
1092904691219682304,max fosh！！！,23.785,1657375591,d4f5509a
1092905147148859648,IBM90-20年代还推动自动医学诊断系统，可惜豪赌失败了,249.225,1657375646,d1ddc2d2
1092905964811595264,登月计划,260.558,1657375743,63343472
1092911977572939264,蓝色巨人,124.636,1657376460,45c60780
1092914712317946112,小lin奶茶店排面,12.891,1657376786,24e2fb74
1092923551729710336,推荐浪潮之巅,124.404,1657377840,acbe298f
1092936378104389376,著名的柯洁痛苦器就这家公司的,118.05,1657379369,5bcc634b
1092936790664317440,比尔盖茨自传里还说用这下过国际象棋,149.903,1657379418,5bcc634b
1092940391407407104,盖茨: 这事我熟，上什么学啊真的是。,65.343,1657379847,eb4f96c
1092942981482435328,Iam Bat Man,68.478,1657380156,ebc6772b
1092948626814084864,选票统计器,152.621,1657380829,34601c39
1092955061983775232,这是1.3万亿美元,247.847,1657381596,23802db0
1092958072386826240,中国烟草：勿cue,330.644,1657381955,633b6c66
1092961600282949632,她可不是乱打的,358.822,1657382375,cc03f215
1092967201415339776,浪潮之巅,32.5,1657383043,5ab0faf2
1092968078419163136,天亮猛男了,127.66,1657383148,f40bb3f
1092971442326493952,仙童七子,343.533,1657383549,ecfa675d
1092981355295300608,卧槽，当时的50亿,216.105,1657384730,ecadcaa7
1092990500270723328,《小Lin奶茶店》,8.561,1657385820,75472063
1092992691115093760,中国烟草总公司，各位弟弟都让让,44.328,1657386082,4f587d62
1093008069153224192,盲猜微软,294.53,1657387915,afb19da1
1093009041359214848,沙特阿美：你在说我？,324.313,1657388031,f226cbc7
1093023087596875264,欢迎收看 《贫民窟的百万富翁》小Lin版,62.589,1657389705,175014c4
1093031894167257600,盲猜埃克森美孚,58.558,1657390755,5c040339
1093037024077704704,后轮转向，细节,94.083,1657391367,7aac20e1
1093087915086729216,中石油 中银行 中烟草,299.001,1657397433,637678c2
1093106707774796032,蓝色巨人,113.18,1657399674,6500d683
1093137396674912000,个人电脑的标准就是ibm定的，所以早年只有ibm的机器叫pc，其他的都叫兼容机2333,261.616,1657403332,6ab951a4
1093200050315806720,中国烟草：都让让,21.737,1657410801,b9ab1186
1093209464204582400,嘴巴真好看,198.04,1657411923,26aa72e1
1093221269777883904,没有老王奶茶店吗（dog）,0.0,1657413330,5305f4cb
1093240439089282048,弹幕护体,359.862,1657415616,351a270b
1093266010938800640,A IBM,64.128,1657418664,3ef177a
1093277820479821824,叠甲完毕,339.658,1657420072,709658df
1093301600245793024,一鲸落万物生,306.908,1657422907,ad0e942f
1093310111553789184,好像基莲,125.475,1657423921,86f24b77
1093315907738026496,联想,116.261,1657424612,f1b5d471
1093334457055914240,I m Blue Man,129.003,1657426823,b6d3d246
1093335783387051776,大家好，我是新人UP主，咸鸭蛋可汗~,96.573,1657426981,da0b9895
1093338513576867072,卷福,134.377,1657427307,16c20031
1093344438903899136,推荐看《浪潮之巅》,307.815,1657428013,7e013ee4
1093359590332203264,盖茨：我就摘苹果的人,271.886,1657429819,f819aea7
1093392269689702912,六十年代的50亿,230.653,1657433715,57ff6c9c
1093396929234133504,通用起家之初更像杜兰特搞得行业联合会 但是大佬堪称sales之神 就是能卖,87.524,1657434271,49fecbd1
1093400280759888384,《小Lin奶茶店》,11.662,1657434670,abdb2d62
1093425516553393408,洛克菲勒：你们一起来吧,33.011,1657437678,f732b033
1093427759851620864,蓝色巨人,109.569,1657437946,3948347c
1093427936364662272,hello world,24.803,1657437967,d770d1c6
1093455031476173568,《夹带私活》,12.458,1657441197,c0103bea
1093455268320363776,有max fosh 的no limit公司吗哈哈哈哈哈哈哈哈哈,25.097,1657441225,c0103bea
1093455342819621376,max fosh的公司哈哈哈哈哈哈哈哈,32.945,1657441234,c0103bea
1093467394111979776,实际价值远不止1.3W亿吧,242.859,1657442671,29ad6c57
1093558297086336768,烟草呢？,303.304,1657453507,93fb5505
1093585344894589440,酱香型技术,341.963,1657456731,69650d02
1093620969223945216,蓝色巨人,69.813,1657460978,18d02eb2
1093626487954899968,lin式破音,46.47,1657461636,c2d9ce58
1093628779454275840,通用化,222.442,1657461909,c2d9ce58
1093630038114596096,我壳斗,45.419,1657462059,a3fe9cfe
1093634283404417280,卧槽，这不是我司么,125.462,1657462565,be454448
1093670905558723584,话说标准石油的时代有股市吗？,56.036,1657466931,e8d33117
1093679002293543936,我看到你家奶茶店了哈,34.788,1657467896,e9ca5be
1093682718673502720,植物僵尸大战,288.062,1657468339,d70282d1
1093726315703677184,c.1986荷兰霸主时代早已落幕,62.865,1657473537,1ed16353
1093828419399144704,盲猜东印度公司,27.71,1657485708,327a6f16
1093829430108909824,《is》,286.847,1657485829,cdba04fe
1093897067832745728,得力文具,118.839,1657493892,acb1f624
1093903607256064768,老王呢,274.745,1657494671,2fe8a842
1093952299006564352,JP 摩根和爱迪生,103.297,1657500476,ae110c54
1093953821765332480,Oracle 登顶过吗？,259.457,1657500657,ae110c54
1093954305209365504,这下科赫没了,300.137,1657500715,ae110c54
1093997613662931456,1960年我们还挨饿呢！,162.878,1657505878,65de9341
1094009101089962240,ibn5100（有端,170.758,1657507247,88773643
1094010113133597696,炸弹机，破解恩格玛机加密过的德军无线电用的,133.659,1657507368,3e77c29f
1094062608505452800,硬盘,157.022,1657513626,8d3cb47
1094094966529124608,其实ibm一直到现在都是500强，并不像有人认为的ibm已经没了,206.599,1657517483,48416d07
1094119332809567488,格格巫说,0.867,1657520388,accd098a
1094127783896012800,图灵测试,131.814,1657521395,76ea7ed2
1094315613075128320,？？？,92.771,1657543786,9275fd79
1094338825251033344,我们业界称为18摸哈哈哈,102.41,1657546553,b63edb5a
1094345046452391936,蓝色巨人,158.439,1657547295,24eb0b77
1094399796162354944,IBM5100（幻视）,147.389,1657553822,de86806f
1094426859866756864,致敬前辈们 这是从0到1 最难的过程,207.294,1657557048,ce88dbbc
1094435866832800256,“哇～～～”一起进去吹泡泡,313.962,1657558122,9e9cdb0c
1094792235670678528,中烟：小场面,337.223,1657600604,5fdb077f
1094937526906451456,盲猜 ： 东印度公司,4.51,1657617924,16d98aa4
1094995989221261056,深蓝巨兽,124.279,1657624893,7d060dfa
1095011974141679360,蓝色巨人,96.355,1657626799,176bace8
1095546245155634688,N95口罩哈哈哈哈哈哈,39.913,1657690489,5ee39377
1095586190834477056,A,57.061,1657695251,8d2d1c80
1095665486575963648,靠制表机卖给小胡子发家,114.345,1657704704,a22bcc15
1095737928078010880,别苹果和微软 苹果那时候离家庭普及计算机还远着呢,190.006,1657713339,905318ef
1096148522941591296,蓝色巨人,105.453,1657762286,9792c027
1096149166146727936,之前都是打孔卡,182.142,1657762363,9792c027
1096169312084864768,电影名：模仿游戏,133.421,1657764764,89058d95
1096255174713839616,林妹妹喜庆的笑消除一切烦难，加油！,36.682,1657775000,cee28b57
1096293266770422784,历史的必然性和偶然性,45.678,1657779541,d69419ee
1096486772478598144,烟草不说话,43.164,1657802609,d83dc9e3
1096593959611834112,嘣嘣嘣，嘣嘣，还以为是因特尔,68.062,1657815386,154e67d7
1096901445883811584,apple,26.015,1657852042,7f44ebec
1096925394185138944,四轮转向,111.046,1657854896,fff2d6a1
1097258194843040256,小lin奶茶点,53.961,1657894569,2fabee95
1097645391974858496,thinkpad卖给联想之后，质量真的存疑,316.142,1657940727,5121e6f2
1097823536153860096,比尔盖茨自己有一台IBM，没得比,314.155,1657961963,cf2c25e9
1098591196764399616,AMOC是大西洋径向翻转环流,359.06,1658053476,b7733d9a
1099038250414377728,美金！,243.198,1658106769,e291d947
1099385158236272384,吹泡泡,323.618,1658148123,597e926e
1099518778988838144,祖师爷！,139.153,1658164052,f01847d5
1100000864338480640,蓝色巨人,116.259,1658221521,ad06bfd5
1100108544881006848,宇宙第一大行,18.41,1658234358,bd52e306
1100108732022451968,宇宙第一大行,40.672,1658234380,bd52e306
1100120249614744064,制定标准,210.219,1658235753,53b21a06
1100179614795479808,制饺机（确信）,117.049,1658242830,d3c22819
1100224677122435840,蓝色巨人送分题,68.286,1658248202,27b9ce8
1100313096523615744,蓝色巨人,57.998,1658258742,dc69ed77
1100770840439621120,小  Lin  奶  茶  店,346.348,1658313309,1f7348d3
1101233654732050688,沙特阿美：谢谢 勿cue,330.04,1658368481,b0219bc9
1102739882784110336,那个时期的50亿现在多少钱？,209.05,1658548037,9c59099c
1102905569443996416,以前在IBM上班，简历写国际商业机器，HR一脸问号,115.408,1658567789,80357cd8
1103159877418766848,沃尔玛,300.86,1658598105,25bd195
1103419473840368384,破音区UP主,18.451,1658629051,9074bf3c
1103419639196683008,UP嘴里藏了一只哨子,109.32,1658629071,de8f7297
1103545500243859200,蓝色巨人,69.885,1658644075,680ee3a3
1103809261357755648,茅台了解一下,312.16,1658675517,a63e27b
1103844995703511040,贝尔实验室就是AT&T的前身，linux系统也出自于此,99.352,1658679777,3be75549
1104375593966793728,宋丹丹 嗯～？,257.0,1658743029,c6f9e746
1104549687236606208,老林大嘴巴,8.359,1658763783,d7cdf786
1105167558925074688,人月神话,216.579,1658837439,d28ae1e4
