danmaku_id,content,progress,ctime,user_hash
1944456161122111232,胜利的法则我已解明！,336.086,1758888437,5a71ca00
1944469845844690688,小马哥强啊,263.102,1758890068,98da03db
1944473040436480512,腹黑鲸鱼妹可爱捏,203.631,1758890449,1232197c
1944479320600999424,好诶第二期！,0.322,1758891198,da059ce6
1944501562341109760,戏这么多吗hhh,224.612,1758893849,925959e0
1944542877435096576,mem0+neo4j么,75.654,1758898774,76dfe442
1944551976482806016,deepseek运气爆表啊，第6发才中,178.492,1758899859,4de16f8b
1944553666359404800,ds又是第6发是真的,309.278,1758900061,4de16f8b
1944566416673947904,前世记忆哈哈哈,144.041,1758901581,5398ea22
1944576555556960000,这图片出来没绷住,128.073,1758902789,d3e41c36
1944579515787845376,“面无表情”（笑嘻嘻的）,102.333,1758903142,4645366d
1944584622167933440,Ds依旧稳定发挥,64.708,1758903751,4ec86357
1944586168037552640,这才是演员！,221.108,1758903935,4ec86357
1944586269304916992,演员请就位哈哈,224.638,1758903947,4ec86357
1944586626978092800,笑死我了这个称呼,258.725,1758903990,4ec86357
1944605674587722240,Gemini:精彩精彩,175.425,1758906260,65f36fef
1944642970330658560,这俩能不能出本小说啊淦好爱这种人设,261.968,1758910706,71d0ac43
1944643447919149312,好可爱,16.089,1758910763,2c7b2129
1944650172504699136,？！甚至有小动画了,14.251,1758911565,82f2869f
1944658763605284352,可以写小说了,153.764,1758912589,41bfa74d
1944682446180325632,什么运,118.815,1758915412,fa3a1e0
1944794898825808640,老朋友了,90.336,1758928818,5d4fd419
1944811949343344640,豆包?,354.31,1758930850,b4ffaa9b
1944830799745075200,一半的合法真牌在自己手里稳着打不就基本赢了？,123.637,1758933097,6f50a634
1944869664543181568,老倒霉蛋了,133.422,1758937730,2a953916
1944900934698299136,东西方同时内战了属于是,253.976,1758941458,e969a862
1944946007939256064,豆包甚至能赢,354.923,1758946831,5d08249a
1944962588173997824,又是你们,90.68,1758948808,d45db7d9
1944976668728940288,倒想看Deep seek与豆包,248.883,1758950486,e0ebad17
1944985657072163072,你别告诉我是AI做的,28.218,1758951558,34a7b0c2
1944991782542667776,马哥牛啊,350.958,1758952288,ad694fa3
1945017880542938112,666还在学习呢,283.291,1758955399,f201e151
1945019201656478976,不……kimi!!!!!!!!!,255.47,1758955557,eb63e1f2
1945027645293058304,等等，这个动画是不是也是ai画的？,236.742,1758956563,6a060998
1945044674024716288,好家伙，这就是有记忆系统的优势，之前对决刚开始都看不出,147.599,1758958593,43ece142
1945044906507267840,这就是老戏骨,225.965,1758958621,4e5ec4ce
1945059704128992512,应该是的,241.015,1758960385,534bb8be
1945062573393197056,因为本来就是不断学习的,334.107,1758960727,65c2cfdb
1945064089651441920,肯定是AI啊，很多动作都不自然,242.537,1758960908,bd29e0c1
1945091891578534400,腹黑小鲸鱼,318.312,1758964222,fbc30707
1945095312595229696,先质疑，再质疑，还是质疑,197.431,1758964630,15c1ec73
1945095370770078976,这是恩怨局吧,198.811,1758964637,15c1ec73
1945104408069507328,仙之人兮列如麻,5.484,1758965714,88cdd57a
1945132079897792768,《冤家路窄》,144.243,1758969013,57e507de
1945132591972240640,neo4j?,69.384,1758969074,9499158c
1945194430223078912,莽的,122.388,1758976446,a4e4b80d
1945218696654437888,4张真牌不打出去要浪？,134.607,1758979338,47d747eb
1945270478952595712,666一枪死和耐活王（）,94.204,1758985511,e7af9b95
1945283858732208640,两个我用的最多的全寄了,216.02,1758987106,a4fa3628
1945317937628600576,动画明显是AI画的,241.283,1758991169,fe7bdc9e
