danmaku_id,content,progress,ctime,user_hash
1566484207747202304,以下五个专业毕业即失业 就好比BP机维修,321.414,1713830669,6c522a1e
1568051890271732224,6,310.462,1714017551,b6e3448e
1570645785488410368,AI经常发癫,8.517,1714326768,c3a0d769
1571195758600834048,AI经常发癫,7.812,1714392330,79acc1e1
1572037238760580608,AI经常发癫,7.651,1714492642,b11005fa
1574957178803347968,5,299.4,1714840726,65df9306
1579337973302910208,5,299.4,1715362957,f8e3f4c7
1605449633835022080,想问一下，我用cref控制角色一致性，给他背对着的提示词，可他只能和参考图一样是正面的，且和参考图一样只有半身呢,250.332,1718475710,d67309eb
1610183925408517888,你好，看到你的视频内容很优质，商务合作怎么联系？,19.116,1719040081,56eee0d3
1631861987996813568,5,299.4,1721624308,6127c5e0
1642763622541591808,智慧的眼神,287.698,1722923884,b39fda7
1642763879031353856,？哈哈哈这叫超高的,316.974,1722923914,b39fda7
1790642546981333248,5,299.4,1740552425,16e14b85
1801728007048858112,画面一卡一卡的，是我的电脑卡还是视频就这样？,193.081,1741873915,be08f50f
1825389401363582208,关注一下,51.97,1744694573,9f5e36f
1829316933133673472,保持一致性好难,302.109,1745162771,4c3dd33d
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1566484207747202304,以下五个专业毕业即失业 就好比BP机维修,321.414,1713830669,6c522a1e
1568051890271732224,6,310.462,1714017551,b6e3448e
1570645785488410368,AI经常发癫,8.517,1714326768,c3a0d769
1571195758600834048,AI经常发癫,7.812,1714392330,79acc1e1
1572037238760580608,AI经常发癫,7.651,1714492642,b11005fa
1574957178803347968,5,299.4,1714840726,65df9306
1579337973302910208,5,299.4,1715362957,f8e3f4c7
1605449633835022080,想问一下，我用cref控制角色一致性，给他背对着的提示词，可他只能和参考图一样是正面的，且和参考图一样只有半身呢,250.332,1718475710,d67309eb
1610183925408517888,你好，看到你的视频内容很优质，商务合作怎么联系？,19.116,1719040081,56eee0d3
1631861987996813568,5,299.4,1721624308,6127c5e0
1642763622541591808,智慧的眼神,287.698,1722923884,b39fda7
1642763879031353856,？哈哈哈这叫超高的,316.974,1722923914,b39fda7
1790642546981333248,5,299.4,1740552425,16e14b85
1801728007048858112,画面一卡一卡的，是我的电脑卡还是视频就这样？,193.081,1741873915,be08f50f
1825389401363582208,关注一下,51.97,1744694573,9f5e36f
1829316933133673472,保持一致性好难,302.109,1745162771,4c3dd33d
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1566484207747202304,以下五个专业毕业即失业 就好比BP机维修,321.414,1713830669,6c522a1e
1568051890271732224,6,310.462,1714017551,b6e3448e
1570645785488410368,AI经常发癫,8.517,1714326768,c3a0d769
1571195758600834048,AI经常发癫,7.812,1714392330,79acc1e1
1572037238760580608,AI经常发癫,7.651,1714492642,b11005fa
1574957178803347968,5,299.4,1714840726,65df9306
1579337973302910208,5,299.4,1715362957,f8e3f4c7
1605449633835022080,想问一下，我用cref控制角色一致性，给他背对着的提示词，可他只能和参考图一样是正面的，且和参考图一样只有半身呢,250.332,1718475710,d67309eb
1610183925408517888,你好，看到你的视频内容很优质，商务合作怎么联系？,19.116,1719040081,56eee0d3
1631861987996813568,5,299.4,1721624308,6127c5e0
1642763622541591808,智慧的眼神,287.698,1722923884,b39fda7
1642763879031353856,？哈哈哈这叫超高的,316.974,1722923914,b39fda7
1790642546981333248,5,299.4,1740552425,16e14b85
1801728007048858112,画面一卡一卡的，是我的电脑卡还是视频就这样？,193.081,1741873915,be08f50f
1825389401363582208,关注一下,51.97,1744694573,9f5e36f
1829316933133673472,保持一致性好难,302.109,1745162771,4c3dd33d
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1566484207747202304,以下五个专业毕业即失业 就好比BP机维修,321.414,1713830669,6c522a1e
1568051890271732224,6,310.462,1714017551,b6e3448e
1570645785488410368,AI经常发癫,8.517,1714326768,c3a0d769
1571195758600834048,AI经常发癫,7.812,1714392330,79acc1e1
1572037238760580608,AI经常发癫,7.651,1714492642,b11005fa
1574957178803347968,5,299.4,1714840726,65df9306
1579337973302910208,5,299.4,1715362957,f8e3f4c7
1605449633835022080,想问一下，我用cref控制角色一致性，给他背对着的提示词，可他只能和参考图一样是正面的，且和参考图一样只有半身呢,250.332,1718475710,d67309eb
1610183925408517888,你好，看到你的视频内容很优质，商务合作怎么联系？,19.116,1719040081,56eee0d3
1631861987996813568,5,299.4,1721624308,6127c5e0
1642763622541591808,智慧的眼神,287.698,1722923884,b39fda7
1642763879031353856,？哈哈哈这叫超高的,316.974,1722923914,b39fda7
1790642546981333248,5,299.4,1740552425,16e14b85
1801728007048858112,画面一卡一卡的，是我的电脑卡还是视频就这样？,193.081,1741873915,be08f50f
1825389401363582208,关注一下,51.97,1744694573,9f5e36f
1829316933133673472,保持一致性好难,302.109,1745162771,4c3dd33d
,,0.0,1775645360.3863423,
lb.c,,0.0,1775645360.3863423,
,,0.0,1775645360.3863423,
1566484207747202304,以下五个专业毕业即失业 就好比BP机维修,321.414,1713830669,6c522a1e
1568051890271732224,6,310.462,1714017551,b6e3448e
1570645785488410368,AI经常发癫,8.517,1714326768,c3a0d769
1571195758600834048,AI经常发癫,7.812,1714392330,79acc1e1
1572037238760580608,AI经常发癫,7.651,1714492642,b11005fa
1574957178803347968,5,299.4,1714840726,65df9306
1579337973302910208,5,299.4,1715362957,f8e3f4c7
