danmaku_id,content,progress,ctime,user_hash
1962650208358390528,理解了,149.16,1761057336,68c73314
1962650358229256960,准确的 精准的,157.16,1761057354,68c73314
1962992324648667136,光荣在于平淡，艰巨在于漫长,97.62,1761098120,3331827d
1963084760557457152,没有那么轻松,14.145,1761109139,e4452dcb
1963099318097538560,是的 笨一点有时候反而能创造人生,62.559,1761110875,55b6dbcb
1963126120430350848,这地方是驻训场。本来就没什么活干。,181.745,1761114070,7f5ed71c
1963134943752786432,扎心了,45.185,1761115121,622b50f8
1963146158088215296,同意前面说的,270.103,1761116458,cc5ced47
1963151879462558208,三多是好 是对 但我更能共情他们 因为我就是这样 这个阶段 我更希望得到温暖 虽然是逃避 ,263.368,1761117140,a75701aa
1963152081695733760,堕落并不能赢得内心的平和，人总要自我救赎的,193.973,1761117164,68f97107
1963152745452174848,20年过后 能切身感受到了,303.03,1761117244,a75701aa
1963180124921279488,光荣在于平淡，间距在于漫长,93.677,1761120507,e148b115
1963245219529495040,因为许三多周围没有PUA的领导和同事,0.761,1761128267,95cdb1e7
1963246396140304640,还行,46.798,1761128408,42ce4474
1963259513080077824,驻训场修路别人可能会想，但真行动的只有许三多这种单纯的人，要是别人肯定得先想想驻训场这种军事场地铺路这种明显的形成坐标的行为上级会不会同意！,253.155,1761129971,fbef1888
1963282155040161792,占领空瓶,328.825,1761132670,8dd9e75d
1963284077340067840,不过临时的生活，不过凑合的日子,133.931,1761132900,7276e60c
1963295259572281856,我觉得我像甘小宁,39.367,1761134233,a979941b
1963298679381447424,是白铁军是吧？,7.247,1761134640,dbaa593
1963303113968324864,因为是电视剧,8.966,1761135169,7019afd5
1963337204927942912,这很像我刚出社会时那样，现在我找不回当初的那个自己了,140.101,1761139233,210484a4
1963345534262169600,自律的人哪怕在你身边，就会影响着一切,228.086,1761140226,83eebfcf
1963391659434153472,我就是这样,67.07,1761145724,57516edb
1963527590879061248,一不小心走了成才的路,50.814,1761161929,afb04c00
1963703324951927296,他焦虑了,336.6,1761182878,3b2560ec
1963737261040725504,也许，都是平凡人,23.391,1761186923,c44f048e
1963772476307957504,同时在走所有人的线没关系,57.08,1761191121,33cfdb19
1963827272960392960,桓温：树犹如此，人何以堪,326.323,1761197654,5e00983c
1963900243851043072,那不是自律，那是人抵抗虚无无唯一的出路,237.211,1761206352,8c0fb51d
1963920104727262464,我连三呆子一点皮毛都及不上,49.759,1761208720,ace491f0
1963985251722341120,想融入集体不等于想攀关系，真想攀关系早就在王团长身边送文件了，狭隘不是个好习惯,257.058,1761216486,d0d4f7e9
1964025194414839808,主角之所以是主角 必然有常人不具有的品质,151.551,1761221248,db1f4e4b
1964091229302565632,他在卷，你们还在干嘛，我也很焦虑啊,344.931,1761229120,654eb0ab
1964107368304338176,大多数人都是这样的多面的矛盾体平庸者，而且想修行也不能成功,63.333,1761231043,885b59f
1964111659052533760,许三多刚到就面临了人生最大的考验，那就是虚无,78.665,1761231555,86f305fe
1964528101270800384,哦豁,0.179,1761281199,e2575e07
1964568889694731264,许都进入心流状态了23333,323.196,1761286061,7bfa1741
